Date,Open,High,Low,Close,Adj Close,Volume
2022-05-25,735.000000,743.950012,705.400024,707.900024,698.335022,7699306
2022-05-26,712.000000,719.299988,668.150024,701.500000,692.021484,13569693
2022-05-27,714.099976,714.099976,697.000000,703.099976,693.599854,5815428
2022-05-30,714.000000,737.000000,710.000000,734.700012,724.772888,5546106
2022-05-31,731.099976,749.000000,728.000000,739.849976,729.853333,6346866
2022-06-01,739.799988,743.700012,729.049988,736.900024,726.943176,3196984
2022-06-02,737.000000,751.900024,730.250000,748.450012,738.337097,3536560
2022-06-03,758.000000,758.500000,738.750000,739.900024,729.902649,2960614
2022-06-06,738.500000,745.000000,725.299988,741.250000,731.234375,2753267
2022-06-07,739.000000,742.500000,713.400024,734.549988,724.624878,2488075
2022-06-08,735.549988,740.000000,725.349976,728.599976,718.755310,2839931
2022-06-09,726.000000,737.000000,723.099976,735.500000,725.562073,2604731
2022-06-10,726.000000,732.150024,718.200012,726.400024,716.585083,3377686
2022-06-13,711.000000,714.700012,688.799988,695.250000,685.855957,4535069
2022-06-14,695.400024,721.799988,693.549988,704.700012,695.178284,6144330
2022-06-15,710.900024,713.299988,701.599976,703.750000,694.241089,2447673
2022-06-16,711.950012,717.099976,677.000000,681.700012,672.489014,4301251
2022-06-17,677.000000,689.450012,663.000000,668.950012,659.911255,6103963
2022-06-20,671.000000,673.900024,653.099976,663.150024,654.189636,3507676
2022-06-21,670.500000,691.549988,667.099976,689.099976,679.789001,3313116
2022-06-22,684.900024,687.849976,665.549988,668.299988,659.270081,2964156
2022-06-23,672.700012,683.299988,666.200012,675.299988,666.175476,2762533
2022-06-24,683.000000,687.950012,677.099976,686.400024,677.125549,2740927
2022-06-27,698.000000,698.700012,684.900024,687.750000,678.457275,2711512
2022-06-28,681.000000,683.799988,670.250000,678.049988,668.888306,4596840
2022-06-29,675.000000,684.400024,667.000000,677.799988,668.641724,3332554
2022-06-30,680.549988,685.900024,666.599976,672.049988,662.969360,3502799
2022-07-01,670.000000,680.000000,656.000000,677.900024,668.740417,3151179
2022-07-04,679.849976,684.299988,673.099976,682.000000,672.784912,1874921
2022-07-05,686.450012,694.200012,676.950012,678.750000,669.578857,2472875
2022-07-06,678.000000,696.299988,677.150024,694.349976,684.968018,2634839
2022-07-07,701.000000,707.000000,695.000000,703.599976,694.093079,2896584
2022-07-08,709.900024,717.750000,706.549988,715.700012,706.029663,3880791
2022-07-11,715.000000,732.000000,713.049988,729.200012,719.347229,3814715
2022-07-12,729.000000,742.900024,726.349976,731.900024,722.010742,5846548
2022-07-13,737.049988,739.000000,724.349976,726.750000,716.930298,2373553
2022-07-14,729.000000,730.799988,716.549988,724.450012,719.612305,2859869
2022-07-15,737.700012,738.450012,726.099976,730.900024,726.019226,4127381
2022-07-18,736.950012,742.500000,732.599976,739.750000,734.810120,2403691
2022-07-19,736.950012,751.799988,734.049988,749.000000,743.998352,2864129
2022-07-20,756.950012,756.950012,741.900024,743.549988,738.584717,2176017
2022-07-21,747.700012,756.900024,741.200012,754.250000,749.213257,2639283
2022-07-22,757.650024,764.950012,751.549988,754.250000,749.213257,2854708
2022-07-25,757.000000,757.250000,746.049988,749.950012,744.942017,1592179
2022-07-26,749.900024,753.500000,745.000000,749.099976,744.097656,1803260
2022-07-27,748.700012,762.200012,747.049988,760.650024,755.570557,2539587
2022-07-28,763.650024,768.599976,757.650024,764.500000,759.394836,2696358
2022-07-29,769.000000,775.650024,758.849976,763.700012,758.600159,3182798
2022-08-01,770.000000,804.000000,765.049988,801.250000,795.899414,6459641
2022-08-02,800.849976,810.400024,795.000000,802.299988,796.942383,4393310
2022-08-03,802.799988,809.900024,795.349976,807.200012,801.809692,3326267
2022-08-04,811.049988,820.500000,796.500000,807.250000,801.859314,4641779
2022-08-05,811.099976,818.700012,805.500000,810.250000,804.839294,2807602
2022-08-08,812.900024,823.000000,795.349976,801.650024,796.296753,7519923
2022-08-10,803.000000,808.000000,778.299988,790.549988,785.270874,5541103
2022-08-11,794.700012,799.900024,788.299988,792.750000,787.456177,2140171
2022-08-12,793.500000,799.700012,785.500000,788.349976,783.085510,2281608
2022-08-16,792.299988,826.000000,791.150024,824.150024,818.646484,6820860
2022-08-17,827.349976,831.950012,821.150024,824.750000,819.242493,3694850
2022-08-18,824.750000,836.450012,820.450012,833.049988,827.487061,3836669
2022-08-19,837.250000,883.900024,833.950012,871.799988,865.978271,24506694
2022-08-22,876.200012,891.900024,837.349976,840.250000,834.638977,14693558
2022-08-23,835.799988,857.200012,806.099976,832.500000,826.940735,13515300
2022-08-24,830.250000,838.150024,817.099976,836.299988,830.715332,6558722
2022-08-25,840.500000,842.349976,812.299988,816.000000,810.550903,6287921
2022-08-26,821.000000,845.000000,817.650024,837.700012,832.106018,8513113
2022-08-29,815.099976,844.599976,815.000000,836.400024,830.814697,6652807
2022-08-30,844.000000,860.599976,838.700012,842.150024,836.526306,9490984
2022-09-01,841.799988,846.549988,831.349976,837.799988,832.205322,3888408
2022-09-02,842.000000,860.900024,838.049988,851.950012,846.260864,8840020
2022-09-05,854.950012,864.900024,848.200012,850.900024,845.217896,5434684
2022-09-06,854.700012,858.549988,844.049988,850.349976,844.671509,3380947
2022-09-07,847.000000,878.750000,845.099976,874.900024,869.057617,8930248
2022-09-08,880.599976,888.400024,867.000000,885.049988,879.139771,7943521
2022-09-09,888.799988,925.000000,887.000000,906.849976,900.794189,18369177
2022-09-12,914.700012,942.000000,911.000000,938.500000,932.232849,12571292
2022-09-13,946.000000,953.900024,933.000000,948.799988,942.464111,9651873
2022-09-14,941.000000,958.799988,939.000000,947.849976,941.520447,8500355
2022-09-15,955.000000,972.700012,950.400024,968.549988,962.082214,8703534
2022-09-16,970.250000,976.450012,926.150024,938.200012,931.934875,10712402
2022-09-19,942.900024,972.599976,935.299988,959.599976,953.191956,7922869
2022-09-20,974.200012,987.849976,967.000000,970.250000,963.770874,7539047
2022-09-21,974.000000,976.099976,917.099976,932.900024,926.670288,13178269
2022-09-22,933.900024,953.500000,928.049988,946.650024,940.328491,8855564
2022-09-23,950.000000,950.849976,910.150024,913.799988,907.697815,6646619
2022-09-26,909.000000,909.900024,855.250000,863.400024,857.634399,9880236
2022-09-27,861.000000,875.000000,833.799988,844.200012,838.562622,11598728
2022-09-28,835.900024,847.000000,823.349976,827.099976,821.576782,7040943
2022-09-29,839.000000,847.500000,813.049988,816.400024,810.948242,7476709
2022-09-30,822.500000,830.450012,801.000000,820.650024,815.169861,10406215
2022-10-03,821.000000,834.400024,773.150024,784.400024,779.161926,12903551
2022-10-04,804.000000,826.299988,790.099976,823.049988,817.553833,10445528
2022-10-06,832.900024,835.000000,822.299988,824.099976,818.596802,6175752
2022-10-07,821.000000,826.000000,806.349976,816.900024,811.444946,6086925
2022-10-10,807.500000,813.950012,799.000000,808.099976,802.703613,4642360
2022-10-11,814.000000,820.599976,795.250000,797.349976,792.025452,6193388
2022-10-12,801.000000,806.500000,786.349976,803.900024,798.531738,5628537
2022-10-13,807.000000,811.750000,777.000000,784.750000,779.509583,7491563
2022-10-14,804.000000,806.599976,778.250000,780.099976,774.890625,4562526
2022-10-17,782.099976,789.950012,771.650024,786.200012,780.949951,4602870
2022-10-18,791.450012,815.000000,790.500000,809.950012,804.541321,7372253
2022-10-19,814.000000,823.450012,801.150024,805.049988,799.674011,5222275
2022-10-20,801.000000,822.250000,795.049988,820.049988,814.573853,4481441
2022-10-21,824.200012,824.200012,799.400024,801.650024,796.296753,5266210
2022-10-24,808.000000,810.000000,802.000000,805.500000,800.121033,665021
2022-10-25,806.700012,812.750000,797.099976,800.349976,795.005371,4485050
2022-10-27,805.000000,824.000000,795.000000,821.250000,815.765869,7110289
2022-10-28,824.000000,834.799988,817.299988,820.299988,814.822205,6898541
2022-10-31,824.000000,831.000000,819.500000,823.549988,818.050476,4487537
2022-11-01,827.700012,844.900024,823.549988,841.799988,836.178589,7769108
2022-11-02,850.000000,850.000000,829.000000,833.400024,827.834717,11859603
2022-11-03,825.000000,837.799988,823.500000,833.849976,828.281677,6632872
2022-11-04,837.000000,867.000000,832.000000,862.900024,857.137756,11128361
2022-11-07,867.200012,869.000000,845.549988,853.000000,847.303833,7995787
2022-11-09,859.500000,901.000000,859.000000,890.799988,884.851379,20088415
2022-11-10,894.000000,898.000000,876.299988,893.450012,887.483704,9906420
2022-11-11,905.000000,907.799988,890.799988,894.500000,888.526672,8777095
2022-11-14,895.000000,907.500000,885.000000,895.049988,889.072998,7653024
2022-11-15,898.900024,915.500000,895.000000,906.900024,900.843933,10675723
2022-11-16,915.000000,916.000000,874.400024,887.349976,881.424438,11504802
2022-11-17,886.000000,897.700012,880.500000,890.849976,884.901062,5190475
2022-11-18,892.049988,894.900024,879.599976,888.900024,882.964111,5384458
2022-11-21,885.000000,888.000000,869.000000,871.599976,865.779602,6108453
2022-11-22,871.599976,885.750000,870.500000,882.450012,876.557190,5466001
2022-11-23,885.450012,887.500000,866.650024,873.599976,867.766235,5319949
2022-11-24,873.900024,882.500000,868.299988,876.650024,870.795898,5111180
2022-11-25,877.000000,881.000000,872.099976,879.599976,873.726196,5079099
2022-11-28,876.000000,885.250000,873.500000,878.599976,872.732849,4168244
2022-11-29,878.000000,891.799988,874.650024,878.200012,872.335571,3663099
2022-11-30,878.900024,884.150024,873.299988,881.000000,875.116882,3797377
2022-12-01,884.750000,896.500000,882.000000,890.549988,884.603088,4491806
2022-12-02,894.000000,903.599976,884.250000,888.200012,882.268799,6279538
2022-12-05,891.599976,896.500000,878.549988,893.150024,887.185730,3966501
2022-12-06,893.799988,902.299988,886.000000,896.450012,890.463684,4836193
